No.,選手名,守備,生年月日,年齢,年数,身長,体重,血液型,投打,出身地,年俸(推定),team
36,坂本　光士郎,投手,1994/09/09,30歳,6年,179cm,75kg,B型,左左,広島,"3,800万円",ロッテ
37,小野　郁,投手,1996/10/23,28歳,10年,175cm,78kg,AB型,右右,福岡,"3,500万円",ロッテ
38,髙部　瑛斗,外野手,1997/12/11,27歳,5年,178cm,72kg,A型,右左,神奈川,"2,800万円",ロッテ
39,大下　誠一郎,内野手,1997/11/03,27歳,5年,171cm,89kg,AB型,右右,福岡,800万円,ロッテ
40,西村　天裕,投手,1993/05/06,31歳,7年,177cm,92kg,O型,右右,和歌山,"4,000万円",ロッテ
41,ダイクストラ,投手,1990/11/22,34歳,1年,193cm,100kg,不明,右左,アメリカ,-,ロッテ
41,カイケル,投手,1988/01/01,36歳,1年,190cm,93kg,不明,左左,アメリカ,-,ロッテ
42,メルセデス,投手,1994/03/08,30歳,8年,188cm,82kg,不明,左両,ドミニカ共和国,"8,000万円",ロッテ
43,秋山　正雲,投手,2003/04/29,21歳,3年,174cm,80kg,B型,左左,千葉,560万円,ロッテ
44,井上　晴哉,内野手,1989/07/03,35歳,11年,180cm,115kg,A型,右右,広島,"3,200万円",ロッテ
45,植田　将太,捕手,1997/12/18,27歳,5年,180cm,86kg,AB型,右右,大阪,500万円,ロッテ
46,岩下　大輝,投手,1996/10/02,28歳,10年,182cm,90kg,O型,右右,石川,"4,200万円",ロッテ
47,鈴木　昭汰,投手,1998/09/07,26歳,4年,175cm,80kg,A型,左左,茨城,"1,800万円",ロッテ
48,中村　稔弥,投手,1996/07/08,28歳,6年,178cm,84kg,A型,左左,長崎,"2,000万円",ロッテ
49,本前　郁也,投手,1997/10/02,27歳,5年,176cm,82kg,A型,左左,北海道,"1,200万円",ロッテ
50,愛斗,外野手,1997/04/06,27歳,9年,177cm,92kg,O型,右右,大阪,"2,900万円",ロッテ
51,山口　航輝,外野手,2000/08/18,24歳,6年,183cm,100kg,A型,右右,大阪,"4,300万円",ロッテ
52,益田　直也,投手,1989/10/25,35歳,13年,178cm,80kg,B型,右右,和歌山,"20,000万円",ロッテ
53,木村　優人,投手,2005/06/01,19歳,1年,185cm,77kg,B型,右左,茨城,600万円,ロッテ
55,柿沼　友哉,捕手,1993/05/12,31歳,9年,180cm,86kg,A型,右右,茨城,"1,500万円",ロッテ
56,中森　俊介,投手,2002/05/29,22歳,4年,182cm,90kg,AB型,右左,兵庫,"1,500万円",ロッテ
57,小川　龍成,内野手,1998/04/05,26歳,4年,171cm,74kg,O型,右左,群馬,"1,200万円",ロッテ
58,河村　説人,投手,1997/06/18,27歳,4年,192cm,87kg,O型,右右,北海道,"1,150万円",ロッテ
59,早坂　響,投手,2005/07/26,19歳,1年,176cm,70kg,A型,右右,千葉,560万円,ロッテ
60,横山　陸人,投手,2001/08/05,23歳,5年,180cm,90kg,O型,右右,東京,"1,800万円",ロッテ
61,山本　大斗,外野手,2002/08/09,22歳,4年,180cm,90kg,A型,右右,鳥取,460万円,ロッテ
62,森　遼大朗,投手,1999/04/22,25歳,7年,180cm,87kg,A型,右左,宮崎,700万円,ロッテ
63,和田　康士朗,外野手,1999/01/14,25歳,7年,185cm,77kg,B型,左左,埼玉,"2,500万円",ロッテ
64,フェルナンデス,投手,1997/03/02,27歳,1年,190cm,106kg,不明,右右,ドミニカ共和国,"18,000万円",ロッテ
64,菅野　剛士,外野手,1993/05/06,31歳,7年,171cm,83kg,A型,右左,東京,"1,500万円",ロッテ
65,寺地　隆成,捕手,2005/08/19,19歳,1年,177cm,82kg,O型,右左,東京,500万円,ロッテ
66,澤田　圭佑,投手,1994/04/27,30歳,8年,178cm,96kg,B型,右左,愛媛,"1,940万円",ロッテ
67,茶谷　健太,内野手,1998/01/16,26歳,9年,186cm,88kg,O型,右右,神奈川,"2,000万円",ロッテ
68,金田　優太,内野手,2005/02/12,19歳,2年,183cm,83kg,O型,右左,埼玉,500万円,ロッテ
69,コルデロ,投手,1991/10/19,33歳,1年,190cm,111kg,不明,右右,ドミニカ共和国,"18,000万円",ロッテ
91,二保　旭,投手,1990/05/18,34歳,16年,182cm,74kg,B型,右右,福岡,700万円,ロッテ
92,国吉　佑樹,投手,1991/09/24,33歳,15年,196cm,106kg,A型,右右,大阪,"5,000万円",ロッテ
93,吉田　凌,投手,1997/06/20,27歳,9年,181cm,80kg,A型,右右,兵庫,700万円,ロッテ
99,ソト,内野手,1989/02/28,35歳,7年,185cm,97kg,不明,右右,プエルトリコ,"20,000万円",ロッテ
120,田中　楓基,投手,2003/08/23,21歳,3年,180cm,75kg,O型,右右,北海道,230万円,ロッテ
121,土肥　星也,投手,1995/07/07,29歳,8年,186cm,90kg,B型,左左,大阪,750万円,ロッテ
124,古谷　拓郎,投手,2000/04/21,24歳,6年,184cm,86kg,O型,右右,千葉,420万円,ロッテ
125,永島田　輝斗,投手,2003/11/30,21歳,3年,180cm,85kg,A型,右右,神奈川,230万円,ロッテ
126,村山　亮介,捕手,2003/11/12,21歳,3年,188cm,118kg,O型,右右,千葉,230万円,ロッテ
127,吉川　悠斗,投手,2005/03/14,19歳,2年,185cm,82kg,A型,左左,埼玉,230万円,ロッテ
128,白濱　快起,投手,2004/07/05,20歳,2年,192cm,87kg,A型,右右,広島,230万円,ロッテ
129,勝又　琉偉,内野手,2004/10/07,20歳,2年,188cm,78kg,A型,右右,静岡,230万円,ロッテ
130,黒川　凱星,内野手,2004/04/05,20歳,2年,178cm,80kg,A型,右右,千葉,230万円,ロッテ
133,武内　涼太,投手,2005/10/25,19歳,1年,184cm,84kg,O型,右右,大分,230万円,ロッテ
134,松石　信八,内野手,2005/12/18,19歳,1年,175cm,75kg,O型,右右,佐賀,230万円,ロッテ
135,髙野　光海,外野手,2004/06/17,20歳,1年,187cm,87kg,O型,右右,兵庫,250万円,ロッテ
136,藤田　和樹,外野手,2005/11/04,19歳,1年,185cm,82kg,A型,右左,山口,230万円,ロッテ
137,富山　紘之進,捕手,2005/09/18,19歳,1年,181cm,70kg,O型,右右,大阪,230万円,ロッテ
138,マーティン,外野手,2000/10/14,24歳,1年,188cm,95kg,O型,右右,キューバ,230万円,ロッテ
